rank,state
30,Virginia
"3,271,616",Washington
34,Arizona
"2,763,885",Tennessee
34,Massachusetts
"2,233,169",Indiana
1,Missouri
18.4%,Maryland
Mtn,Wisconsin
32,Colorado
"3,104,614",Minnesota
35,South Carolina
"2,700,551",Alabama
35,Louisiana
"1,998,257",Kentucky
5,Oregon
15.0%,Oklahoma
Mtn,Connecticut
36,Utah
"2,117,522",Puerto Rico
36,Iowa
"2,059,179",Nevada
36,Arkansas
"1,819,046",Mississippi
38,Kansas
2.8%,New Mexico
Mtn,Nebraska
38,Idaho
"1,839,106",West Virginia
39,Hawaii
"1,567,582",New Hampshire
39,Maine
"1,293,953",Montana
2,Rhode Island
17.3%,Delaware
Mtn,South Dakota
44,North Dakota
"1,084,225",Alaska
44,Vermont
"989,415",Wyoming
44,Guam
"902,195",U.S. Virgin Islands
14,American Samoa
9.6%,California
Mtn,Texas
50,Florida
"576,851",New York
50,Pennsylvania
"563,626",Illinois
50,Ohio
"493,782",Georgia
44,North Carolina
2.3%,Michigan
Mtn,New Jersey
6,Virginia
"24,919,150",Washington
6,Arizona
"22,065,451",Tennessee
7,Massachusetts
"18,172,295",Indiana
1,Missouri
12.9%,Maryland
West,Wisconsin
1,Colorado
"39,538,223",Minnesota
1,South Carolina
"37,253,956",Alabama
1,Louisiana
"33,871,648",Kentucky
24,Oregon
6.1%,Oklahoma
Pac,Connecticut
13,Utah
"7,705,281",Puerto Rico
13,Iowa
"6,724,540",Nevada
15,Arkansas
"5,894,121",Mississippi
7,Kansas
14.6%,New Mexico
Pac,Nebraska
27,Idaho
"4,237,256",West Virginia
27,Hawaii
"3,831,074",New Hampshire
28,Maine
"3,421,399",Montana
11,Rhode Island
10.6%,Delaware
Pac,South Dakota
40,North Dakota
"1,455,271",Alaska
40,Vermont
"1,360,301",Wyoming
42,Guam
"1,211,537",U.S. Virgin Islands
23,American Samoa
7.0%,California
Pac,Texas
48,Florida
"733,391",New York
47,Pennsylvania
"710,231",Illinois
48,Ohio
"626,932",Georgia
36,North Carolina
3.3%,Michigan
Pac,New Jersey
2,Virginia
"53,669,422",Washington
2,Arizona
"49,880,102",Tennessee
3,Massachusetts
"45,025,637",Indiana
4,Missouri
7.6%,Maryland
West,Wisconsin
2,Colorado
"78,588,572",Minnesota
2,South Carolina
"71,945,553",Alabama
3,Louisiana
"63,197,932",Kentucky
2,Oregon
9.2%,Oklahoma
USA,Connecticut
–,Utah
"331,449,281",Puerto Rico
–,Iowa
"308,745,538",Nevada
–,Arkansas
"281,421,906",Mississippi
–,Kansas
7.4%,New Mexico
NAmer,Nebraska
1,Idaho
"3,285,874",West Virginia
1,Hawaii
"3,725,789",New Hampshire
1,Maine
"3,808,610",Montana
3,Rhode Island
−11.8%,Delaware
I.A.,South Dakota
2,North Dakota
"153,836",Alaska
2,Vermont
"159,358",Wyoming
2,Guam
"154,805",U.S. Virgin Islands
1,American Samoa
−3.5%,California
I.A.,Texas
3,Florida
"87,146",New York
3,Pennsylvania
"106,405",Illinois
3,Ohio
"108,612",Georgia
2,North Carolina
−18.1%,Michigan
I.A.,New Jersey
4,Virginia
"49,710",Washington
4,Arizona
"55,519",Tennessee
5,Massachusetts
"57,291",Indiana
4,Missouri
−7.7%,Maryland
I.A.,Wisconsin
5,Colorado
"47,329",Minnesota
5,South Carolina
"53,883",Alabama
4,Louisiana
"69,221",Kentucky
5,Oregon
−14.8%,Oklahoma
I.A.,Connecticut
 ,Utah
6,Puerto Rico
6,Iowa
6,Nevada
316,Arkansas
6,Mississippi
—,Kansas
I.A.,New Mexico
–,Nebraska
"3,623,895",Idaho
–,West Virginia
"4,100,954",Hawaii
–,New Hampshire
"4,198,855",Maine
–,Montana
−11.6%,Rhode Island
USA,Delaware
1,South Dakota
1,North Dakota
52,Alaska
2,Vermont
2,Wyoming
38,Guam
3,U.S. Virgin Islands
3,American Samoa
28,California
4,Texas
4,Florida
26,New York
5,Pennsylvania
5,Illinois
17,Ohio
6,Georgia
6,North Carolina
17,Michigan
7,New Jersey
7,Virginia
15,Washington
8,Arizona
8,Tennessee
14,Massachusetts
9,Indiana
9,Missouri
14,Maryland
10,Wisconsin
10,Colorado
13,Minnesota
11,South Carolina
11,Alabama
12,Louisiana
12,Kentucky
12,Oregon
11,Oklahoma
13,Connecticut
13,Utah
10,Puerto Rico
14,Iowa
14,Nevada
9,Arkansas
15,Mississippi
16,Kansas
9,New Mexico
16,Nebraska
15,Idaho
9,West Virginia
17,Hawaii
17,New Hampshire
9,Maine
18,Montana
19,Rhode Island
8,Delaware
19,South Dakota
18,North Dakota
8,Alaska
20,Vermont
20,Wyoming
8,Guam
21,U.S. Virgin Islands
21,American Samoa
8,California
22,Texas
22,Florida
8,New York
23,Pennsylvania
23,Illinois
7,Ohio
24,Georgia
24,North Carolina
7,Michigan
25,New Jersey
25,Virginia
6,Washington
26,Arizona
26,Tennessee
6,Massachusetts
27,Indiana
27,Missouri
6,Maryland
28,Wisconsin
28,Colorado
5,Minnesota
29,South Carolina
29,Alabama
5,Louisiana
30,Kentucky
31,Oregon
4,Oklahoma
31,Connecticut
30,Utah
32,Puerto Rico
32,Iowa
4,Nevada
33,Arkansas
33,Mississippi
4,Kansas
34,New Mexico
34,Nebraska
4,Idaho
35,West Virginia
35,Hawaii
4,New Hampshire
36,Maine
36,Montana
4,Rhode Island
37,Delaware
37,South Dakota
3,North Dakota
38,Alaska
38,Vermont
3,Wyoming
39,Guam
39,U.S. Virgin Islands
2,American Samoa
40,California
40,Texas
2,Florida
41,New York
41,Pennsylvania
2,Illinois
42,Ohio
42,Georgia
2,North Carolina
43,Michigan
43,New Jersey
2,Virginia
44,Washington
45,Arizona
2,Tennessee
45,Massachusetts
44,Indiana
2,Missouri
46,Maryland
46,Wisconsin
1,Colorado
47,Minnesota
47,South Carolina
1,Alabama
48,Louisiana
48,Kentucky
1,Oregon
49,Oklahoma
49,Connecticut
1,Utah
50,Puerto Rico
50,Iowa
51,Nevada
51,Arkansas
1,Mississippi
52,Kansas
52,New Mexico
1,Nebraska
53,Idaho
53,West Virginia
54,Hawaii
54,New Hampshire
55,Maine
55,Montana
56,Rhode Island
56,Delaware
15,South Dakota
"7,029,917",North Dakota
14,Alaska
"6,547,629",Vermont
13,Wyoming
"6,349,097",Guam
21,U.S. Virgin Islands
7.4%,American Samoa
NEng,California
29,Texas
"3,605,944",Florida
29,New York
"3,574,097",Pennsylvania
29,Illinois
"3,405,565",Ohio
47,Georgia
0.9%,North Carolina
NEng,Michigan
41,New Jersey
"1,377,529",Virginia
42,Washington
"1,316,470",Arizona
41,Tennessee
"1,235,786",Massachusetts
30,Indiana
4.6%,Missouri
NEng,Maryland
42,Wisconsin
"1,362,359",Colorado
41,Minnesota
"1,328,361",South Carolina
40,Alabama
"1,274,923",Louisiana
42,Kentucky
2.6%,Oregon
NEng,Oklahoma
"1,097,379",Connecticut
43,Utah
"1,052,567",Puerto Rico
43,Iowa
"1,048,319",Nevada
31,Arkansas
4.3%,Mississippi
NEng,Kansas
49,New Mexico
"643,077",Nebraska
49,Idaho
"625,741",West Virginia
49,Hawaii
"608,827",New Hampshire
40,Maine
2.8%,Montana
NEng,Rhode Island
9,Delaware
"15,116,205",South Dakota
9,North Dakota
"14,444,865",Alaska
9,Vermont
"13,922,517",Wyoming
7,Guam
4.6%,U.S. Virgin Islands
NEast,American Samoa
4,California
"20,201,249",Texas
3,Florida
"19,378,102",New York
3,Pennsylvania
"18,976,457",Illinois
32,Ohio
4.2%,Georgia
MAtl,North Carolina
5,Michigan
"13,002,700",New Jersey
6,Virginia
"12,702,379",Washington
6,Arizona
"12,281,054",Tennessee
43,Massachusetts
2.4%,Indiana
MAtl,Missouri
11,Maryland
"9,288,994",Wisconsin
11,Colorado
"8,791,894",Minnesota
9,South Carolina
"8,414,350",Alabama
25,Louisiana
5.7%,Kentucky
MAtl,Oregon
4,Oklahoma
"42,492,943",Connecticut
4,Utah
"40,872,375",Puerto Rico
4,Iowa
"39,671,861",Nevada
8,Arkansas
4.0%,Mississippi
NEast,Kansas
4,New Mexico
"57,609,148",Nebraska
4,Idaho
"55,317,240",West Virginia
4,Hawaii
"53,594,378",New Hampshire
3,Maine
4.1%,Montana
USA,Rhode Island
3,Delaware
"21,538,187",South Dakota
4,North Dakota
"18,801,310",Alaska
4,Vermont
"15,982,378",Wyoming
8,Guam
14.6%,U.S. Virgin Islands
SAtl,American Samoa
8,California
"10,711,908",Texas
9,Florida
"9,687,653",New York
10,Pennsylvania
"8,186,453",Illinois
12,Ohio
10.6%,Georgia
SAtl,North Carolina
9,Michigan
"10,439,388",New Jersey
10,Virginia
"9,535,483",Washington
11,Arizona
"8,049,313",Tennessee
15,Massachusetts
9.5%,Indiana
SAtl,Missouri
12,Maryland
"8,631,393",Wisconsin
12,Colorado
"8,001,024",Minnesota
12,South Carolina
"7,078,515",Alabama
18,Louisiana
7.9%,Kentucky
SAtl,Oregon
18,Oklahoma
"6,177,224",Connecticut
19,Utah
"5,773,552",Puerto Rico
19,Iowa
"5,296,486",Nevada
22,Arkansas
7.0%,Mississippi
SAtl,Kansas
23,New Mexico
"5,118,425",Nebraska
24,Idaho
"4,625,364",West Virginia
26,Hawaii
"4,012,012",New Hampshire
10,Maine
10.7%,Montana
SAtl,Rhode Island
39,Delaware
"1,793,716",South Dakota
37,North Dakota
"1,852,994",Alaska
37,Vermont
"1,808,344",Wyoming
50,Guam
−3.2%,U.S. Virgin Islands
SAtl,American Samoa
45,California
"989,948",Texas
45,Florida
"897,934",New York
45,Pennsylvania
"783,600",Illinois
13,Ohio
10.2%,Georgia
SAtl,North Carolina
–,Michigan
"689,545",New Jersey
–,Virginia
"601,723",Washington
–,Arizona
"572,059",Tennessee
–,Massachusetts
14.6%,Indiana
SAtl,Missouri
1,Maryland
"66,089,734",Wisconsin
1,Colorado
"59,777,037",Minnesota
1,South Carolina
"51,769,160",Alabama
3,Louisiana
10.6%,Kentucky
South,Oregon
16,Oklahoma
"6,910,840",Connecticut
17,Utah
"6,346,105",Puerto Rico
16,Iowa
"5,689,283",Nevada
17,Arkansas
8.9%,Mississippi
ESC,Kansas
24,New Mexico
"5,024,279",Nebraska
23,Idaho
"4,779,736",West Virginia
23,Hawaii
"4,447,100",New Hampshire
27,Maine
5.1%,Montana
ESC,Rhode Island
26,Delaware
"4,505,836",South Dakota
26,North Dakota
"4,339,367",Alaska
25,Vermont
"4,041,769",Wyoming
33,Guam
3.8%,U.S. Virgin Islands
ESC,American Samoa
34,California
"2,961,279",Texas
31,Florida
"2,967,297",New York
31,Pennsylvania
"2,844,658",Illinois
49,Ohio
−0.2%,Georgia
ESC,North Carolina
8,Michigan
"19,402,234",New Jersey
8,Virginia
"18,432,505",Washington
8,Arizona
"17,022,810",Tennessee
6,Massachusetts
5.3%,Indiana
South,Missouri
2,Maryland
"29,145,505",Wisconsin
2,Colorado
"25,145,561",Minnesota
2,South Carolina
"20,851,820",Alabama
3,Louisiana
15.9%,Kentucky
WSC,Oregon
25,Oklahoma
"4,657,757",Connecticut
25,Utah
"4,533,372",Puerto Rico
22,Iowa
"4,468,976",Nevada
41,Arkansas
2.7%,Mississippi
WSC,Kansas
28,New Mexico
"3,959,353",Nebraska
28,Idaho
"3,751,351",West Virginia
27,Hawaii
"3,450,654",New Hampshire
26,Maine
5.5%,Montana
WSC,Rhode Island
33,Delaware
"3,011,524",South Dakota
32,North Dakota
"2,915,918",Alaska
33,Vermont
"2,673,400",Wyoming
35,Guam
3.3%,U.S. Virgin Islands
WSC,American Samoa
5,California
"40,774,139",Texas
5,Florida
"36,346,202",New York
5,Pennsylvania
"31,444,850",Illinois
2,Ohio
12.2%,Georgia
South,North Carolina
1,Michigan
"126,266,107",New Jersey
1,Virginia
"114,555,744",Washington
1,Arizona
"100,236,820",Tennessee
1,Massachusetts
10.2%,Indiana
USA,Missouri
6,Maryland
"12,812,508",Wisconsin
5,Colorado
"12,830,632",Minnesota
5,South Carolina
"12,419,293",Alabama
48,Louisiana
−0.1%,Kentucky
ENC,Oregon
7,Oklahoma
"11,799,448",Connecticut
7,Utah
"11,536,504",Puerto Rico
7,Iowa
"11,353,140",Nevada
45,Arkansas
2.3%,Mississippi
ENC,Kansas
10,New Mexico
"10,077,331",Nebraska
8,Idaho
"9,883,640",West Virginia
8,Hawaii
"9,938,444",New Hampshire
46,Maine
2.0%,Montana
ENC,Rhode Island
17,Delaware
"6,785,528",South Dakota
15,North Dakota
"6,483,802",Alaska
14,Vermont
"6,080,485",Wyoming
29,Guam
4.7%,U.S. Virgin Islands
ENC,American Samoa
20,California
"5,893,718",Texas
20,Florida
"5,686,986",New York
18,Pennsylvania
"5,363,675",Illinois
34,Ohio
3.6%,Georgia
ENC,North Carolina
3,Michigan
"47,368,533",New Jersey
3,Virginia
"46,421,564",Washington
2,Arizona
"45,155,037",Tennessee
9,Massachusetts
2.0%,Indiana
MWest,Missouri
19,Maryland
"6,154,913",Wisconsin
18,Colorado
"5,988,927",Minnesota
17,South Carolina
"5,595,211",Alabama
39,Louisiana
2.8%,Kentucky
WNC,Oregon
22,Oklahoma
"5,706,494",Connecticut
21,Utah
"5,303,925",Puerto Rico
21,Iowa
"4,919,479",Nevada
19,Arkansas
7.6%,Mississippi
WNC,Kansas
31,New Mexico
"3,190,369",Nebraska
30,Idaho
"3,046,355",West Virginia
30,Hawaii
"2,926,324",New Hampshire
28,Maine
4.7%,Montana
WNC,Rhode Island
35,Delaware
"2,937,880",South Dakota
33,North Dakota
"2,853,118",Alaska
32,Vermont
"2,688,418",Wyoming
37,Guam
3.0%,U.S. Virgin Islands
WNC,American Samoa
37,California
"1,961,504",Texas
38,Florida
"1,826,341",New York
38,Pennsylvania
"1,711,263",Illinois
20,Ohio
7.4%,Georgia
WNC,North Carolina
46,Michigan
"886,667",New Jersey
46,Virginia
"814,180",Washington
46,Arizona
"754,844",Tennessee
16,Massachusetts
8.9%,Indiana
WNC,Missouri
47,Maryland
"779,094",Wisconsin
48,Colorado
"672,591",Minnesota
47,South Carolina
"642,200",Alabama
4,Louisiana
15.8%,Kentucky
WNC,Oregon
7,Oklahoma
"21,616,921",Connecticut
7,Utah
"20,505,437",Puerto Rico
6,Iowa
"19,237,739",Nevada
5,Arkansas
5.4%,Mississippi
MWest,Kansas
3,New Mexico
"68,985,454",Nebraska
3,Idaho
"66,927,001",West Virginia
2,Hawaii
"64,392,776",New Hampshire
4,Maine
3.1%,Montana
USA,Rhode Island
14,Delaware
"7,151,502",South Dakota
16,North Dakota
"6,392,017",Alaska
20,Vermont
"5,130,632",Wyoming
9,Guam
11.9%,U.S. Virgin Islands
Mtn,American Samoa
21,California
"5,773,714",Texas
22,Florida
"5,029,196",New York
24,Pennsylvania
"4,301,261",Illinois
6,Ohio
14.8%,Georgia
Mtn,North Carolina
30,Michigan
"3,271,616",New Jersey
34,Virginia
"2,763,885",Washington
34,Arizona
"2,233,169",Tennessee
1,Massachusetts
18.4%,Indiana
Mtn,Missouri
32,Maryland
"3,104,614",Wisconsin
35,Colorado
"2,700,551",Minnesota
35,South Carolina
"1,998,257",Alabama
5,Louisiana
15.0%,Kentucky
Mtn,Oregon
36,Oklahoma
"2,117,522",Connecticut
36,Utah
"2,059,179",Puerto Rico
36,Iowa
"1,819,046",Nevada
38,Arkansas
2.8%,Mississippi
Mtn,Kansas
38,New Mexico
"1,839,106",Nebraska
39,Idaho
"1,567,582",West Virginia
39,Hawaii
"1,293,953",New Hampshire
2,Maine
17.3%,Montana
Mtn,Rhode Island
44,Delaware
"1,084,225",South Dakota
44,North Dakota
"989,415",Alaska
44,Vermont
"902,195",Wyoming
14,Guam
9.6%,U.S. Virgin Islands
Mtn,American Samoa
50,California
"576,851",Texas
50,Florida
"563,626",New York
50,Pennsylvania
"493,782",Illinois
44,Ohio
2.3%,Georgia
Mtn,North Carolina
6,Michigan
"24,919,150",New Jersey
6,Virginia
"22,065,451",Washington
7,Arizona
"18,172,295",Tennessee
1,Massachusetts
12.9%,Indiana
West,Missouri
1,Maryland
"39,538,223",Wisconsin
1,Colorado
"37,253,956",Minnesota
1,South Carolina
"33,871,648",Alabama
24,Louisiana
6.1%,Kentucky
Pac,Oregon
13,Oklahoma
"7,705,281",Connecticut
13,Utah
"6,724,540",Puerto Rico
15,Iowa
"5,894,121",Nevada
7,Arkansas
14.6%,Mississippi
Pac,Kansas
27,New Mexico
"4,237,256",Nebraska
27,Idaho
"3,831,074",West Virginia
28,Hawaii
"3,421,399",New Hampshire
11,Maine
10.6%,Montana
Pac,Rhode Island
40,Delaware
"1,455,271",South Dakota
40,North Dakota
"1,360,301",Alaska
42,Vermont
"1,211,537",Wyoming
23,Guam
7.0%,U.S. Virgin Islands
Pac,American Samoa
48,California
"733,391",Texas
47,Florida
"710,231",New York
48,Pennsylvania
"626,932",Illinois
36,Ohio
3.3%,Georgia
Pac,North Carolina
2,Michigan
"53,669,422",New Jersey
2,Virginia
"49,880,102",Washington
3,Arizona
"45,025,637",Tennessee
4,Massachusetts
7.6%,Indiana
West,Missouri
2,Maryland
"78,588,572",Wisconsin
2,Colorado
"71,945,553",Minnesota
3,South Carolina
"63,197,932",Alabama
2,Louisiana
9.2%,Kentucky
USA,Oregon
–,Oklahoma
"331,449,281",Connecticut
–,Utah
"308,745,538",Puerto Rico
–,Iowa
"281,421,906",Nevada
–,Arkansas
7.4%,Mississippi
NAmer,Kansas
1,New Mexico
"3,285,874",Nebraska
1,Idaho
"3,725,789",West Virginia
1,Hawaii
"3,808,610",New Hampshire
3,Maine
−11.8%,Montana
I.A.,Rhode Island
2,Delaware
"153,836",South Dakota
2,North Dakota
"159,358",Alaska
2,Vermont
"154,805",Wyoming
1,Guam
−3.5%,U.S. Virgin Islands
I.A.,American Samoa
3,California
"87,146",Texas
3,Florida
"106,405",New York
3,Pennsylvania
"108,612",Illinois
2,Ohio
−18.1%,Georgia
I.A.,North Carolina
4,Michigan
"49,710",New Jersey
4,Virginia
"55,519",Washington
5,Arizona
"57,291",Tennessee
4,Massachusetts
−7.7%,Indiana
I.A.,Missouri
5,Maryland
"47,329",Wisconsin
5,Colorado
"53,883",Minnesota
4,South Carolina
"69,221",Alabama
5,Louisiana
−14.8%,Kentucky
I.A.,Oregon
 ,Oklahoma
6,Connecticut
6,Utah
6,Puerto Rico
316,Iowa
6,Nevada
—,Arkansas
I.A.,Mississippi
–,Kansas
"3,623,895",New Mexico
–,Nebraska
"4,100,954",Idaho
–,West Virginia
"4,198,855",Hawaii
–,New Hampshire
−11.6%,Maine
USA,Montana
1,Rhode Island
1,Delaware
52,South Dakota
2,North Dakota
2,Alaska
38,Vermont
3,Wyoming
3,Guam
28,U.S. Virgin Islands
4,American Samoa
4,California
26,Texas
5,Florida
5,New York
17,Pennsylvania
6,Illinois
6,Ohio
17,Georgia
7,North Carolina
7,Michigan
15,New Jersey
8,Virginia
8,Washington
14,Arizona
9,Tennessee
9,Massachusetts
14,Indiana
10,Missouri
10,Maryland
13,Wisconsin
11,Colorado
11,Minnesota
12,South Carolina
12,Alabama
12,Louisiana
11,Kentucky
13,Oregon
13,Oklahoma
10,Connecticut
14,Utah
14,Puerto Rico
9,Iowa
15,Nevada
16,Arkansas
9,Mississippi
16,Kansas
15,New Mexico
9,Nebraska
17,Idaho
17,West Virginia
9,Hawaii
18,New Hampshire
19,Maine
8,Montana
19,Rhode Island
18,Delaware
8,South Dakota
20,North Dakota
20,Alaska
8,Vermont
21,Wyoming
21,Guam
8,U.S. Virgin Islands
22,American Samoa
22,California
8,Texas
23,Florida
23,New York
7,Pennsylvania
24,Illinois
24,Ohio
7,Georgia
25,North Carolina
25,Michigan
6,New Jersey
26,Virginia
26,Washington
6,Arizona
27,Tennessee
27,Massachusetts
6,Indiana
28,Missouri
28,Maryland
5,Wisconsin
29,Colorado
29,Minnesota
5,South Carolina
30,Alabama
31,Louisiana
4,Kentucky
31,Oregon
30,Oklahoma
32,Connecticut
32,Utah
4,Puerto Rico
33,Iowa
33,Nevada
4,Arkansas
34,Mississippi
34,Kansas
4,New Mexico
35,Nebraska
35,Idaho
4,West Virginia
36,Hawaii
36,New Hampshire
4,Maine
37,Montana
37,Rhode Island
3,Delaware
38,South Dakota
38,North Dakota
3,Alaska
39,Vermont
39,Wyoming
2,Guam
40,U.S. Virgin Islands
40,American Samoa
2,California
41,Texas
41,Florida
2,New York
42,Pennsylvania
42,Illinois
2,Ohio
43,Georgia
43,North Carolina
2,Michigan
44,New Jersey
45,Virginia
2,Washington
45,Arizona
44,Tennessee
2,Massachusetts
46,Indiana
46,Missouri
1,Maryland
47,Wisconsin
47,Colorado
1,Minnesota
48,South Carolina
48,Alabama
1,Louisiana
49,Kentucky
49,Oregon
1,Oklahoma
50,Connecticut
50,Utah
51,Puerto Rico
51,Iowa
1,Nevada
52,Arkansas
52,Mississippi
1,Kansas
53,New Mexico
53,Nebraska
54,Idaho
54,West Virginia
55,Hawaii
55,New Hampshire
56,Maine
56,Montana
15,Rhode Island
"7,029,917",Delaware
14,South Dakota
"6,547,629",North Dakota
13,Alaska
"6,349,097",Vermont
21,Wyoming
7.4%,Guam
NEng,U.S. Virgin Islands
29,American Samoa
"3,605,944",California
29,Texas
"3,574,097",Florida
29,New York
"3,405,565",Pennsylvania
47,Illinois
0.9%,Ohio
NEng,Georgia
41,North Carolina
"1,377,529",Michigan
42,New Jersey
"1,316,470",Virginia
41,Washington
"1,235,786",Arizona
30,Tennessee
4.6%,Massachusetts
NEng,Indiana
42,Missouri
"1,362,359",Maryland
41,Wisconsin
"1,328,361",Colorado
40,Minnesota
"1,274,923",South Carolina
42,Alabama
2.6%,Louisiana
NEng,Kentucky
"1,097,379",Oregon
43,Oklahoma
"1,052,567",Connecticut
43,Utah
"1,048,319",Puerto Rico
31,Iowa
4.3%,Nevada
NEng,Arkansas
49,Mississippi
"643,077",Kansas
49,New Mexico
"625,741",Nebraska
49,Idaho
"608,827",West Virginia
40,Hawaii
2.8%,New Hampshire
NEng,Maine
9,Montana
"15,116,205",Rhode Island
9,Delaware
"14,444,865",South Dakota
9,North Dakota
"13,922,517",Alaska
7,Vermont
4.6%,Wyoming
NEast,Guam
4,U.S. Virgin Islands
"20,201,249",American Samoa
3,California
"19,378,102",Texas
3,Florida
"18,976,457",New York
32,Pennsylvania
4.2%,Illinois
MAtl,Ohio
5,Georgia
"13,002,700",North Carolina
6,Michigan
"12,702,379",New Jersey
6,Virginia
"12,281,054",Washington
43,Arizona
2.4%,Tennessee
MAtl,Massachusetts
11,Indiana
"9,288,994",Missouri
11,Maryland
"8,791,894",Wisconsin
9,Colorado
"8,414,350",Minnesota
25,South Carolina
5.7%,Alabama
MAtl,Louisiana
4,Kentucky
"42,492,943",Oregon
4,Oklahoma
"40,872,375",Connecticut
4,Utah
"39,671,861",Puerto Rico
8,Iowa
4.0%,Nevada
NEast,Arkansas
4,Mississippi
"57,609,148",Kansas
4,New Mexico
"55,317,240",Nebraska
4,Idaho
"53,594,378",West Virginia
3,Hawaii
4.1%,New Hampshire
USA,Maine
3,Montana
"21,538,187",Rhode Island
4,Delaware
"18,801,310",South Dakota
4,North Dakota
"15,982,378",Alaska
8,Vermont
14.6%,Wyoming
SAtl,Guam
8,U.S. Virgin Islands
"10,711,908",American Samoa
9,California
"9,687,653",Texas
10,Florida
"8,186,453",New York
12,Pennsylvania
10.6%,Illinois
SAtl,Ohio
9,Georgia
"10,439,388",North Carolina
10,Michigan
"9,535,483",New Jersey
11,Virginia
"8,049,313",Washington
15,Arizona
9.5%,Tennessee
SAtl,Massachusetts
12,Indiana
"8,631,393",Missouri
12,Maryland
"8,001,024",Wisconsin
12,Colorado
"7,078,515",Minnesota
18,South Carolina
7.9%,Alabama
SAtl,Louisiana
18,Kentucky
"6,177,224",Oregon
19,Oklahoma
"5,773,552",Connecticut
19,Utah
"5,296,486",Puerto Rico
22,Iowa
7.0%,Nevada
SAtl,Arkansas
23,Mississippi
"5,118,425",Kansas
24,New Mexico
"4,625,364",Nebraska
26,Idaho
"4,012,012",West Virginia
10,Hawaii
10.7%,New Hampshire
SAtl,Maine
39,Montana
"1,793,716",Rhode Island
37,Delaware
"1,852,994",South Dakota
37,North Dakota
"1,808,344",Alaska
50,Vermont
−3.2%,Wyoming
SAtl,Guam
45,U.S. Virgin Islands
"989,948",American Samoa
45,California
"897,934",Texas
45,Florida
"783,600",New York
13,Pennsylvania
10.2%,Illinois
SAtl,Ohio
–,Georgia
"689,545",North Carolina
–,Michigan
"601,723",New Jersey
–,Virginia
"572,059",Washington
–,Arizona
14.6%,Tennessee
SAtl,Massachusetts
1,Indiana
"66,089,734",Missouri
1,Maryland
"59,777,037",Wisconsin
1,Colorado
"51,769,160",Minnesota
3,South Carolina
10.6%,Alabama
South,Louisiana
16,Kentucky
"6,910,840",Oregon
17,Oklahoma
"6,346,105",Connecticut
16,Utah
"5,689,283",Puerto Rico
17,Iowa
8.9%,Nevada
ESC,Arkansas
24,Mississippi
"5,024,279",Kansas
23,New Mexico
"4,779,736",Nebraska
23,Idaho
"4,447,100",West Virginia
27,Hawaii
5.1%,New Hampshire
ESC,Maine
26,Montana
"4,505,836",Rhode Island
26,Delaware
"4,339,367",South Dakota
25,North Dakota
"4,041,769",Alaska
33,Vermont
3.8%,Wyoming
ESC,Guam
34,U.S. Virgin Islands
"2,961,279",American Samoa
31,California
"2,967,297",Texas
31,Florida
"2,844,658",New York
49,Pennsylvania
−0.2%,Illinois
ESC,Ohio
8,Georgia
"19,402,234",North Carolina
8,Michigan
"18,432,505",New Jersey
8,Virginia
"17,022,810",Washington
6,Arizona
5.3%,Tennessee
South,Massachusetts
2,Indiana
"29,145,505",Missouri
2,Maryland
"25,145,561",Wisconsin
2,Colorado
"20,851,820",Minnesota
3,South Carolina
15.9%,Alabama
WSC,Louisiana
25,Kentucky
"4,657,757",Oregon
25,Oklahoma
"4,533,372",Connecticut
22,Utah
"4,468,976",Puerto Rico
41,Iowa
2.7%,Nevada
WSC,Arkansas
28,Mississippi
"3,959,353",Kansas
28,New Mexico
"3,751,351",Nebraska
27,Idaho
"3,450,654",West Virginia
26,Hawaii
5.5%,New Hampshire
WSC,Maine
33,Montana
"3,011,524",Rhode Island
32,Delaware
"2,915,918",South Dakota
33,North Dakota
"2,673,400",Alaska
35,Vermont
3.3%,Wyoming
WSC,Guam
5,U.S. Virgin Islands
"40,774,139",American Samoa
5,California
"36,346,202",Texas
5,Florida
"31,444,850",New York
2,Pennsylvania
12.2%,Illinois
South,Ohio
1,Georgia
"126,266,107",North Carolina
1,Michigan
"114,555,744",New Jersey
1,Virginia
"100,236,820",Washington
1,Arizona
10.2%,Tennessee
USA,Massachusetts
6,Indiana
"12,812,508",Missouri
5,Maryland
"12,830,632",Wisconsin
5,Colorado
"12,419,293",Minnesota
48,South Carolina
−0.1%,Alabama
ENC,Louisiana
7,Kentucky
"11,799,448",Oregon
7,Oklahoma
"11,536,504",Connecticut
7,Utah
"11,353,140",Puerto Rico
45,Iowa
2.3%,Nevada
ENC,Arkansas
10,Mississippi
"10,077,331",Kansas
8,New Mexico
"9,883,640",Nebraska
8,Idaho
"9,938,444",West Virginia
46,Hawaii
2.0%,New Hampshire
ENC,Maine
17,Montana
"6,785,528",Rhode Island
15,Delaware
"6,483,802",South Dakota
14,North Dakota
"6,080,485",Alaska
29,Vermont
4.7%,Wyoming
ENC,Guam
20,U.S. Virgin Islands
"5,893,718",American Samoa
20,California
"5,686,986",Texas
18,Florida
"5,363,675",New York
34,Pennsylvania
3.6%,Illinois
ENC,Ohio
3,Georgia
"47,368,533",North Carolina
3,Michigan
"46,421,564",New Jersey
2,Virginia
"45,155,037",Washington
9,Arizona
2.0%,Tennessee
MWest,Massachusetts
19,Indiana
"6,154,913",Missouri
